Brand,Category,Item,Base Price,Discount,Notes,System Status,Final Price
Mireille - Paris,Womens,Shirts (beads & embroidery),195.0,0,2 stores in Paris,In System,195.0
Mireille - Paris,Womens,Blazers pink (oversized),575.0,0,,In System,575.0
Mireille - Paris,Womens,Cropped Tweed,395.0,0,,In System,395.0
Mireille - Paris,Womens,Denim & Tweed,395.0,0,,In System,395.0
Mireille - Paris,Womens,Long Tweed,695.0,0,,In System,695.0
System,Womens,T-shirts,95.0,0,,In System,95.0
System,Womens,Sweater Vest,138.0,0,,In System,138.0
System,Womens,Hoodie Tweed,295.0,0,"Lg left cream, Med navy; Fits Med vs Lg",In System,295.0
System,Womens,Vest - Fringe,95.0,0,,In System,95.0
DAHLO (Italian),Hodge Podge,General Inventory,,50,50% off tags,In System,
Florence,Hodge Podge,General Inventory,,60,,In System,
Gap,Hodge Podge,General Inventory,,50,,In System,
Felicity,Hodge Podge,General Inventory,35.0,0,Sizes 1-4 (SM to XLG),In System,35.0
The Drop,Hodge Podge,General Inventory,15.0,0,,In System,15.0
New Vintage,Hodge Podge,General Inventory,35.0,0,Retail $215-$295; LA new sizes make vintage,In System,35.0
La Garenne,Hodge Podge,General Inventory,,50,,In System,
Diesel,Hodge Podge,General Inventory,,60,,In System,
One Teaspoon,Hodge Podge,General Inventory,,60,,In System,
Umgee,Hodge Podge,General Inventory,24.0,0,,In System,24.0
Aerie,Hodge Podge,General Inventory,,60,,In System,
Raw,Hodge Podge,General Inventory,35.0,0,,Not in System (NS),35.0
We Are HAH,Hodge Podge,General Inventory,45.0,0,Made from corn sugar,Not in System (NS),45.0
Sofia,Hodge Podge,General Inventory,,60,,In System,
Blue Ivy,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Prana,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Desigual,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Spiritual Gangster,Hodge Podge,General Inventory,,60,,Not in System (NS),
Unsubscribed,Hodge Podge,Sweaters,85.0,0,,In System,85.0
Find Me Now,Hodge Podge,General Inventory,24.0,0,,In System,24.0
Shades of Roses,Hodge Podge,General Inventory,24.0,0,,In System,24.0
Oliphant,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Chaundry,Hodge Podge,General Inventory,24.0,0,,In System,24.0
Sandro & Maje,Hodge Podge,General Inventory,,60,,Not in System (NS),
Misa Top,Hodge Podge,Top,35.0,0,,Not in System (NS),35.0
IRO,Hodge Podge,General Inventory,,60,,In System,
Chaser,Hodge Podge,General Inventory,24.0,0,,In System,24.0
Lotus Symbol Shirt,Hodge Podge,Shirt,24.0,0,,In System,24.0
Donnie,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Thakoon,Hodge Podge,General Inventory,45.0,0,,In System,45.0
English Factory,Hodge Podge,General Inventory,24.0,0,,In System,24.0
Vici,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Vervent,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Anthro,Hodge Podge,General Inventory,,50,,In System,
Tory Burch,Hodge Podge,General Inventory,,60,,In System,
Disney,Hodge Podge,Sweatshirt,18.0,0,,In System,18.0
Rains,Hodge Podge,General Inventory,,50,,In System,
Outerknown,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Noctua,Hodge Podge,General Inventory,,60,,In System,
Ser.O.Ya,Hodge Podge,General Inventory,85.0,0,,In System,85.0
4 Laps,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Olivacious,Hodge Podge,Jumpsuit,45.0,0,,In System,45.0
Peaches,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Unsubscribed,Hodge Podge,Dress,55.0,0,,In System,55.0
Reveuse,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Orange Farm,Hodge Podge,General Inventory,35.0,0,Also noted $65,In System,35.0
La Liste,Hodge Podge,General Inventory,45.0,0,,In System,45.0
Show Me Your Mumu,Hodge Podge,General Inventory,35.0,0,,In System,35.0
Jil Sander,Lux,Shoes,,60,Off the crossed out price; German brand,In System,
Marni (Italy),Lux,Shoes,,50,Italian colors,In System,
Moni Bags,Lux,Bags,,60,,In System,
Moni Clothes,Last Section,Clothes,,60,,In System,
Milk Barn,Kids,Onies,28.0,50,"Cotton, elastin; 0-3 yrs",In System,14.0
Antebies,Kids,Short Set,33.0,40,Made in Turkey; 0-10 yrs,In System,19.8
Antebies,Kids,Short/Long Set,39.0,40,,In System,23.4
Antebies,Kids,Long Set,51.0,40,,In System,30.599999999999998
MUSLI,Kids,Onie,15.0,40,Safari print; Realistically 1-3 yrs,In System,9.0
MUSLI,Kids,T-shirt,,40,4T-10yrs old,In System,
Fanny Pack,Kids Hodge Podge,Baby Pack,24.0,0,,In System,24.0
Fanny Pack,Kids Hodge Podge,Kids Pack,10.0,0,,In System,10.0
Fanny Pack,Kids Hodge Podge,Shorts,7.0,0,,In System,7.0
Bigsby,Kids Hodge Podge,General,24.0,0,Net price,In System,24.0
Terrez,Kids Hodge Podge,General,15.0,0,,Not in System (NS),15.0
Free People,Kids Hodge Podge,Tops,18.0,0,,In System,18.0
Free People,Kids Hodge Podge,Pants,35.0,0,,In System,35.0
Free People,Kids Hodge Podge,Tank,24.0,0,,In System,24.0
Adidas / Nike,Kids Hodge Podge,General,,50,Except shorts in system,Not in System (NS),
Hayden Girls,Kids Hodge Podge,General,24.0,0,,In System,24.0
Gap,Kids Hodge Podge,General,,50,,In System,
Sea Holly,Kids Hodge Podge,General,15.0,0,,In System,15.0
B.O.Z.Z.O,Kids Hodge Podge,General,15.0,0,,In System,15.0
Carter,Kids Hodge Podge,General,,50,,In System,
Sunday Collective,Kids Hodge Podge,T-shirt/Shorts,15.0,0,,In System,15.0
Sunday Collective,Kids Hodge Podge,Knits,38.0,0,,In System,38.0
Sunday Collective,Kids Hodge Podge,Dresses,24.0,0,,In System,24.0
Marni,Kids Hodge Podge,Shoes,45.0,60,White shoes specific price noted,In System,18.0
Marni,Kids Hodge Podge,Clothes,,60,,In System,
Janie & Jack,Kids Hodge Podge,Bowties,5.0,60,,Not in System (NS),2.0
Janie & Jack,Kids Hodge Podge,Vests,15.0,60,,Not in System (NS),6.0
Show Me Your Mumu,Kids Hodge Podge,General,24.0,0,,In System,24.0
